game_pk,policy,reward,challenges,successes
745402,Greedy,-0.02,2,0
745403,Greedy,0.642,5,3
745452,Greedy,-0.02,2,0
745454,Greedy,-0.02,2,0
745456,Greedy,0.07200000000000001,3,1
745458,Greedy,-0.02,2,0
745469,Greedy,0.06099999999999991,3,1
745479,Greedy,-0.02,2,0
745483,Greedy,0.07200000000000001,3,1
745521,Greedy,-0.02,2,0
745527,Greedy,-0.02,2,0
745534,Greedy,-0.02,2,0
745537,Greedy,-0.02,2,0
745543,Greedy,-0.02,2,0
745545,Greedy,-0.02,2,0
745560,Greedy,-0.02,2,0
745561,Greedy,-0.02,2,0
745564,Greedy,0.06099999999999991,3,1
745565,Greedy,-0.02,2,0
745568,Greedy,0.060000000000000005,3,1
745570,Greedy,-0.02,2,0
745606,Greedy,0.060000000000000005,3,1
745627,Greedy,0.020999999999999894,3,1
745633,Greedy,-0.02,2,0
745636,Greedy,-0.02,2,0
745637,Greedy,-0.02,2,0
745641,Greedy,-0.02,2,0
745648,Greedy,-0.02,2,0
745651,Greedy,0.1859999999999999,5,3
745655,Greedy,-0.02,2,0
745699,Greedy,-0.02,2,0
745715,Greedy,-0.02,2,0
745716,Greedy,0.152,4,2
745725,Greedy,-0.02,2,0
745731,Greedy,-0.02,2,0
745734,Greedy,-0.02,2,0
745781,Greedy,-0.02,2,0
745783,Greedy,-0.02,2,0
745784,Greedy,-0.02,2,0
745791,Greedy,-0.02,2,0
745794,Greedy,0.060000000000000005,3,1
745808,Greedy,-0.02,2,0
745810,Greedy,-0.02,2,0
745813,Greedy,0.060000000000000005,3,1
745815,Greedy,0.0649999999999999,3,1
745852,Greedy,-0.02,2,0
745865,Greedy,-0.02,2,0
745870,Greedy,-0.02,2,0
745871,Greedy,-0.02,2,0
745880,Greedy,-0.02,2,0
745884,Greedy,-0.02,2,0
745894,Greedy,-0.02,2,0
745897,Greedy,-0.02,2,0
745935,Greedy,-0.02,2,0
745940,Greedy,0.1409999999999999,4,2
745941,Greedy,-0.02,2,0
745943,Greedy,-0.02,2,0
745952,Greedy,-0.02,2,0
745972,Greedy,0.6499999999999999,5,3
745975,Greedy,-0.02,2,0
745976,Greedy,-0.02,2,0
746021,Greedy,-0.02,2,0
746026,Greedy,-0.02,2,0
746028,Greedy,-0.02,2,0
746029,Greedy,0.06099999999999991,3,1
746046,Greedy,0.07200000000000001,3,1
746051,Greedy,0.07200000000000001,3,1
746062,Greedy,0.0639999999999999,3,1
746088,Greedy,-0.02,2,0
746099,Greedy,-0.02,2,0
746100,Greedy,-0.02,2,0
746101,Greedy,-0.02,2,0
746117,Greedy,0.06099999999999991,3,1
746126,Greedy,-0.02,2,0
746185,Greedy,0.06099999999999991,3,1
746188,Greedy,-0.02,2,0
746189,Greedy,0.06099999999999991,3,1
746190,Greedy,0.1529999999999999,4,2
746192,Greedy,0.1419999999999998,4,2
746197,Greedy,-0.02,2,0
746201,Greedy,0.06099999999999991,3,1
746212,Greedy,-0.02,2,0
746224,Greedy,-0.02,2,0
746256,Greedy,-0.02,2,0
746259,Greedy,-0.02,2,0
746260,Greedy,-0.02,2,0
746267,Greedy,-0.02,2,0
746269,Greedy,-0.02,2,0
746270,Greedy,-0.02,2,0
746272,Greedy,0.060000000000000005,3,1
746292,Greedy,0.2249999999999998,5,3
746293,Greedy,0.06099999999999991,3,1
746295,Greedy,-0.02,2,0
746300,Greedy,-0.02,2,0
746305,Greedy,-0.02,2,0
746352,Greedy,-0.02,2,0
746355,Greedy,-0.02,2,0
746357,Greedy,0.07200000000000001,3,1
746360,Greedy,-0.02,2,0
746364,Greedy,0.060000000000000005,3,1
746367,Greedy,-0.02,2,0
746382,Greedy,-0.02,2,0
746384,Greedy,0.2759999999999998,5,3
746423,Greedy,-0.02,2,0
746427,Greedy,-0.02,2,0
746430,Greedy,0.06099999999999991,3,1
746434,Greedy,0.19399999999999998,3,1
